Kode PTN,Nama PTN,Kode Prodi,Nama Prodi,Tahun,Peminat,Daya Tampung,Jenis Portofolio
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111001,PENDIDIKAN DOKTER HEWAN,2020,413,55(13.32%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111001,PENDIDIKAN DOKTER HEWAN,2021,391,55(14.07%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111001,PENDIDIKAN DOKTER HEWAN,2022,389,55(14.14%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111001,PENDIDIKAN DOKTER HEWAN,2023,401,50(12.47%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111001,PENDIDIKAN DOKTER HEWAN,2024,350,72(20.57%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111002,TEKNIK SIPIL,2020,571,45(7.88%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111002,TEKNIK SIPIL,2021,498,45(9.04%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111002,TEKNIK SIPIL,2022,435,45(10.34%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111002,TEKNIK SIPIL,2023,469,54(11.51%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111002,TEKNIK SIPIL,2024,525,84(16.00%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111003,TEKNIK MESIN,2020,162,35(21.60%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111003,TEKNIK MESIN,2021,229,35(15.28%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111003,TEKNIK MESIN,2022,172,35(20.35%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111003,TEKNIK MESIN,2023,221,30(13.57%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111003,TEKNIK MESIN,2024,259,36(13.90%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111004,TEKNIK KIMIA,2020,218,35(16.06%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111004,TEKNIK KIMIA,2021,180,35(19.44%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111004,TEKNIK KIMIA,2022,174,35(20.11%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111004,TEKNIK KIMIA,2023,137,35(25.55%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111004,TEKNIK KIMIA,2024,207,48(23.19%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111005,ARSITEKTUR,2020,314,35(11.15%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111005,ARSITEKTUR,2021,326,35(10.74%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111005,ARSITEKTUR,2022,303,35(11.55%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111005,ARSITEKTUR,2023,260,38(14.62%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111005,ARSITEKTUR,2024,272,48(17.65%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111006,TEKNIK ELEKTRO,2020,231,35(15.15%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111006,TEKNIK ELEKTRO,2021,205,35(17.07%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111006,TEKNIK ELEKTRO,2022,189,35(18.52%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111006,TEKNIK ELEKTRO,2023,180,30(16.67%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111006,TEKNIK ELEKTRO,2024,217,48(22.12%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111007,AGROTEKNOLOGI,2020,239,30(12.55%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111007,AGROTEKNOLOGI,2021,201,30(14.93%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111007,AGROTEKNOLOGI,2022,225,30(13.33%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111007,AGROTEKNOLOGI,2023,186,30(16.13%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111007,AGROTEKNOLOGI,2024,181,36(19.89%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111008,AGRIBISNIS,2020,467,30(6.42%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111008,AGRIBISNIS,2021,441,30(6.80%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111008,AGRIBISNIS,2022,380,28(7.37%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111008,AGRIBISNIS,2023,317,28(8.83%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111008,AGRIBISNIS,2024,309,48(15.53%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111009,PETERNAKAN,2020,142,35(24.65%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111009,PETERNAKAN,2021,116,35(30.17%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111009,PETERNAKAN,2022,116,30(25.86%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111009,PETERNAKAN,2023,114,29(25.44%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111009,PETERNAKAN,2024,111,36(32.43%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111010,TEKNOLOGI HASIL PERTANIAN,2020,153,30(19.61%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111010,TEKNOLOGI HASIL PERTANIAN,2021,142,30(21.13%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111010,TEKNOLOGI HASIL PERTANIAN,2022,131,20(15.27%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111010,TEKNOLOGI HASIL PERTANIAN,2023,107,25(23.36%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111010,TEKNOLOGI HASIL PERTANIAN,2024,125,48(38.40%),Tidak Ada
