Kode PTN,Nama PTN,Kode Prodi,Nama Prodi,Tahun,Peminat,Daya Tampung,Jenis Portofolio
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111001,PENDIDIKAN DOKTER HEWAN,2020,455.0,109(23.96%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111001,PENDIDIKAN DOKTER HEWAN,2021,628.0,103(16.40%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111001,PENDIDIKAN DOKTER HEWAN,2022,689.0,99(14.37%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111001,PENDIDIKAN DOKTER HEWAN,2023,548.0,80(14.60%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111001,PENDIDIKAN DOKTER HEWAN,2024,411.0,87(21.17%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111002,TEKNIK SIPIL,2020,741.0,82(11.07%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111002,TEKNIK SIPIL,2021,788.0,81(10.28%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111002,TEKNIK SIPIL,2022,680.0,81(11.91%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111002,TEKNIK SIPIL,2023,587.0,87(14.82%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111002,TEKNIK SIPIL,2024,606.0,99(16.34%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111003,TEKNIK MESIN,2020,338.0,69(20.41%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111003,TEKNIK MESIN,2021,264.0,71(26.89%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111003,TEKNIK MESIN,2022,243.0,66(27.16%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111003,TEKNIK MESIN,2023,231.0,51(22.08%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111003,TEKNIK MESIN,2024,220.0,44(20.00%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111004,TEKNIK KIMIA,2020,201.0,69(34.33%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111004,TEKNIK KIMIA,2021,156.0,64(41.03%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111004,TEKNIK KIMIA,2022,150.0,64(42.67%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111004,TEKNIK KIMIA,2023,155.0,62(40.00%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111004,TEKNIK KIMIA,2024,160.0,56(35.00%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111005,ARSITEKTUR,2020,410.0,69(16.83%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111005,ARSITEKTUR,2021,417.0,63(15.11%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111005,ARSITEKTUR,2022,358.0,64(17.88%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111005,ARSITEKTUR,2023,296.0,61(20.61%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111005,ARSITEKTUR,2024,294.0,60(20.41%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111006,TEKNIK ELEKTRO,2020,350.0,69(19.71%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111006,TEKNIK ELEKTRO,2021,267.0,68(25.47%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111006,TEKNIK ELEKTRO,2022,237.0,66(27.85%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111006,TEKNIK ELEKTRO,2023,224.0,50(22.32%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111006,TEKNIK ELEKTRO,2024,221.0,61(27.60%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111007,AGROTEKNOLOGI,2020,225.0,59(26.22%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111007,AGROTEKNOLOGI,2021,212.0,57(26.89%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111007,AGROTEKNOLOGI,2022,263.0,54(20.53%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111007,AGROTEKNOLOGI,2023,188.0,52(27.66%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111007,AGROTEKNOLOGI,2024,183.0,45(24.59%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111008,AGRIBISNIS,2020,529.0,59(11.15%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111008,AGRIBISNIS,2021,432.0,59(13.66%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111008,AGRIBISNIS,2022,402.0,49(12.19%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111008,AGRIBISNIS,2023,288.0,46(15.97%),Tidak Ada
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111008,AGRIBISNIS,2024,299.0,56(18.73%),Tidak Ada
