Kategori,Kode PTN,Nama PTN,Kota,Provinsi1,Provinsi2,Link Prodi
vokasi,2221,"POLITEKNIK NEGERI LHOKSEUMAWE
(http://pmb.pnl.ac.id/)",Kota Lhokseumawe,Aceh,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=221
vokasi,2222,"POLITEKNIK NEGERI MEDAN
(https://polmed.ac.id/)",Kota Medan,Sumatera Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=222
vokasi,2231,"POLITEKNIK NEGERI BATAM
(http://registrasi.polibatam.ac.id/)",Kota Batam,Kepulauan Riau,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=231
vokasi,2232,"POLITEKNIK NEGERI BENGKALIS
(http://pmb.polbeng.ac.id/)",Kabupaten Bengkalis,Riau,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=232
vokasi,2241,"POLITEKNIK NEGERI PADANG
(https://penerimaan.pnp.ac.id/)",Kota Padang,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=241
vokasi,2242,"POLITEKNIK PERTANIAN NEGERI PAYAKUMBUH
(https://infopmb.ppnp.ac.id)",Kabupaten Lima Puluh Koto,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=242
vokasi,2271,"POLITEKNIK NEGERI SRIWIJAYA
(https://spmb.polsri.ac.id)",Kota Palembang,Sumatera Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=271
vokasi,2281,"POLITEKNIK MANUFAKTUR NEGERI BANGKA BELITUNG
(http://pmb.polman-babel.ac.id/)",Kabupaten Bangka,Kepulauan Bangka Belitung,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=281
vokasi,2291,"POLITEKNIK NEGERI LAMPUNG
(https://pmb.polinela.ac.id/)",Kota Bandar Lampung,Lampung,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=291
vokasi,2421,"POLITEKNIK NEGERI JAKARTA
(https://penerimaan.pnj.ac.id/)",Kota Depok,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=421
vokasi,2422,"POLITEKNIK NEGERI MEDIA KREATIF
(https://polimedia.ac.id/)",Kota Jakarta Selatan,Jakarta Raya,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=422
vokasi,2431,"POLITEKNIK NEGERI BANDUNG
(https://smb.polban.ac.id/)",Kota Bandung,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=431
vokasi,2432,"POLITEKNIK MANUFAKTUR BANDUNG
(https://pmb.polman-bandung.ac.id/)",Kota Bandung,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=432
vokasi,2433,"POLITEKNIK NEGERI INDRAMAYU
(https://pmb.polindra.ac.id/)",Kabupaten Indramayu,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=433
vokasi,2434,"POLITEKNIK NEGERI SUBANG
(https://pmb.polsub.ac.id/)",Kabupaten Subang,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=434
vokasi,2452,"POLITEKNIK NEGERI SEMARANG
(https://pmb.polines.ac.id)",Kota Semarang,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=452
vokasi,2453,"POLITEKNIK NEGERI CILACAP
(http://pmb.pnc.ac.id/)",Kabupaten Cilacap,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=453
vokasi,2454,"POLITEKNIK MARITIM NEGERI INDONESIA
(https://pmb.polimarin.ac.id/)",Kota Semarang,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=454
