Kode PTN,Nama PTN,Kode Prodi,Nama Prodi,Jenjang,Daya Tampung 2025,Peminat 2024,Jenis Portofolio,Link Detail
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111001,PENDIDIKAN DOKTER HEWAN,Sarjana,72,350,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111001&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111002,TEKNIK SIPIL,Sarjana,84,525,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111002&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111003,TEKNIK MESIN,Sarjana,36,259,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111003&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111004,TEKNIK KIMIA,Sarjana,54,207,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111004&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111005,ARSITEKTUR,Sarjana,48,272,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111005&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111006,TEKNIK ELEKTRO,Sarjana,48,217,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111006&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111007,AGROTEKNOLOGI,Sarjana,36,181,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111007&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111008,AGRIBISNIS,Sarjana,48,309,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111008&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111009,PETERNAKAN,Sarjana,39,111,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111009&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111010,TEKNOLOGI HASIL PERTANIAN,Sarjana,48,125,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111010&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111011,TEKNIK PERTANIAN,Sarjana,48,187,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111011&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111012,PENDIDIKAN BIOLOGI,Sarjana,36,227,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111012&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111013,PENDIDIKAN MATEMATIKA,Sarjana,36,279,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111013&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111014,PENDIDIKAN FISIKA,Sarjana,36,103,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111014&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111015,PENDIDIKAN KIMIA,Sarjana,36,103,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111015&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111016,PENDIDIKAN DOKTER,Sarjana,75,1182,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111016&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111017,ILMU KEPERAWATAN,Sarjana,108,1279,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111017&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111018,PENDIDIKAN DOKTER GIGI,Sarjana,30,685,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111018&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111019,MATEMATIKA,Sarjana,24,90,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111019&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111020,FISIKA,Sarjana,24,38,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111020&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111021,KIMIA,Sarjana,24,80,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111021&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111022,BIOLOGI,Sarjana,36,126,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111022&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111023,ILMU KELAUTAN,Sarjana,48,123,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111023&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111024,BUDIDAYA PERAIRAN,Sarjana,48,68,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111024&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111025,TEKNIK INDUSTRI,Sarjana,36,395,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111025&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111026,INFORMATIKA,Sarjana,36,992,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111026&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111027,FARMASI,Sarjana,24,1441,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111027&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111028,TEKNIK GEOFISIKA,Sarjana,24,83,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111028&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111029,TEKNIK PERTAMBANGAN,Sarjana,36,605,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111029&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111030,STATISTIKA,Sarjana,36,253,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111030&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111031,PEMANFAATAN SUMBERDAYA PERIKANAN,Sarjana,36,56,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111031&jenis=0
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111032,ILMU TANAH,Sarjana,36,64,Tidak Ada,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111&prodi=111032&jenis=0
