Kategori,Kode PTN,Nama PTN,Kota,Provinsi1,Provinsi2,Link Prodi
akademik,1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",Kota Banda Aceh,Aceh,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=111
akademik,1112,"UNIVERSITAS MALIKUSSALEH
(http://pmb.unimal.ac.id/)",Kabupaten Aceh Utara,Aceh,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=112
akademik,1113,"UNIVERSITAS TEUKU UMAR
(https://pmb.utu.ac.id/)",Kabupaten Aceh Barat,Aceh,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=113
akademik,1114,"UNIVERSITAS SAMUDRA
(https://camaba.unsam.ac.id/)",Kota Langsa,Aceh,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=114
akademik,1115,"ISBI ACEH
(http://pmb.isbiaceh.ac.id/)",Kabupaten Aceh Besar,Aceh,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=115
akademik,1121,"UNIVERSITAS SUMATERA UTARA
(https://www.usu.ac.id/id/penerimaan)",Kota Medan,Sumatera Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=121
akademik,1122,"UNIVERSITAS NEGERI MEDAN
(https://www.unimed.ac.id/pmb/)",Kota Medan,Sumatera Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=122
akademik,1131,"UNIVERSITAS RIAU
(https://registrasiulang.unri.ac.id/ )",Kota Pekanbaru,Riau,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=131
akademik,1133,"UNIVERSITAS MARITIM RAJA ALI HAJI
(https://penerimaan.umrah.ac.id/)",Kota Tanjungpinang,Kepulauan Riau,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=133
akademik,1141,"UNIVERSITAS ANDALAS
(https://pmb.unand.ac.id/)",Kota Padang,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=141
akademik,1142,"UNIVERSITAS NEGERI PADANG
(https://spmb.unp.ac.id)",Kota Padang,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=142
akademik,1143,"ISI PADANG PANJANG
(https://www.isi-padangpanjang.ac.id/)",Kota Padang Panjang,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=143
akademik,1151,"UNIVERSITAS JAMBI
(https://regis.unja.ac.id/)",Kabupaten Muaro Jambi,Jambi,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=151
akademik,1161,"UNIVERSITAS BENGKULU
(https://regmaba.unib.ac.id)",Kota Bengkulu,Bengkulu,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=161
akademik,1171,"UNIVERSITAS SRIWIJAYA
(https://pmb.unsri.ac.id/)",Kabupaten Ogan Ilir,Sumatera Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=171
akademik,1181,"UNIVERSITAS BANGKA BELITUNG
(https://pmb.ubb.ac.id/hasilseleksi/snbt)",Kabupaten Bangka,Kepulauan Bangka Belitung,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=181
akademik,1191,"UNIVERSITAS LAMPUNG
(http://simanila.unila.ac.id/)",Kota Bandar Lampung,Lampung,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=191
akademik,1192,"INSTITUT TEKNOLOGI SUMATERA
(https://pmb.itera.ac.id/)",Kabupaten Lampung Selatan,Lampung,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=192
akademik,1311,"UNIVERSITAS SULTAN AGENG TIRTAYASA
(https://pmb.untirta.ac.id/)",Kabupaten Serang,Banten,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311
