Kategori,Kode PTN,Nama PTN,Kota,Provinsi1,Provinsi2,Link Prodi
kin,1116,"UIN AR-RANIRY
(https://ar-raniry.ac.id/admisi/)",Kota Banda Aceh,Aceh,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=116
kin,1123,"UIN SUMATERA UTARA
(https://maba.uinsu.ac.id/)",Kabupaten Deli Serdang,Sumatera Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=123
kin,1124,"UIN SYEKH ALI HASAN AHMAD ADDARY PADANGSIDIMPUAN
(https://www.uinsyahada.ac.id)",Kota Padangsidimpuan,Sumatera Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=124
kin,1132,"UIN SULTAN SYARIF KASIM
(https://sireg.uin-suska.ac.id/)",Kota Pekanbaru,Riau,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=132
kin,1144,"UIN IMAM BONJOL PADANG
(https://pmb.uinib.ac.id/)",Kota Padang,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=144
kin,1152,"UIN SULTAN THAHA SAIFUDDIN JAMBI
(https://pmb.uinjambi.ac.id/)",Kota Jambi,Jambi,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=152
kin,1172,"UIN RADEN FATAH
(https://registrasi.radenfatah.ac.id)",Kota Palembang,Sumatera Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=172
kin,1193,"UIN RADEN INTAN LAMPUNG
(https://www.radenintan.ac.id/)",Kota Bandar Lampung,Lampung,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=193
kin,1194,"UIN MAHMUD YUNUS BATUSANGKAR
(https://pmb.uinmybatusangkar.ac.id)",Kabupaten Tanah Datar,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=194
kin,1195,"UIN SJECH M. DJAMIL DJAMBEK BUKITTINGGI
(http://pmb.uinbukittinggi.ac.id)",Kota Bukittinggi,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=195
kin,1312,"UIN SULTAN MAULANA HASANUDDIN BANTEN
(https://pcmb.uinbanten.ac.id/)",Kota Serang,Banten,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=312
kin,1322,"UIN JAKARTA
(https://admisi.uinjkt.ac.id/)",Kota Tangerang Selatan,Banten,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=322
kin,1336,"UIN SUNAN GUNUNG DJATI
(https://pmb.uinsgd.ac.id/)",Kota Bandung,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=336
kin,1357,"UIN WALISONGO
(https://pmb.walisongo.ac.id)",Kota Semarang,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=357
kin,1358,"UIN RADEN MAS SAID SURAKARTA
(https://www.uinsaid.ac.id/)",Kabupate Sukoharjo,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=358
kin,1365,"UIN SUNAN KALIJAGA
(https://admisi.uin-suka.ac.id/)",Kabupaten Sleman,Yogyakarta,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=365
kin,1366,"UIN PROFESOR KIAI HAJI SAIFUDDIN ZUHRI PURWOKERTO
(https://pmb.uinsaizu.ac.id/)",Kabupaten Banyumas,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=366
kin,1367,"UIN SALATIGA
(https://pmb.uinsalatiga.ac.id)",Kota Salatiga,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=367
kin,1368,"UIN K.H. ABDURRAHMAN WAHID PEKALONGAN
(https://uingusdur.ac.id)",Kota Pekalongan,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=368
kin,1374,"UIN MALANG
(http://pmb.uin-malang.ac.id/)",Kota Malang,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=374
kin,1386,"UIN SUNAN AMPEL SURABAYA
(https://pmb.uinsby.ac.id/pengumuman)",Kota Surabaya,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=386
kin,1532,"UIN ANTASARI BANJARMASIN
(https://pmb.uin-antasari.ac.id)",Kota Banjarmasin,Kalimantan Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=532
kin,1571,"UIN SULTAN AJI MUHAMMAD IDRIS SAMARINDA
(https://www.uinsi.ac.id/)",Kota Samarinda,Kalimantan Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=571
kin,1622,"UIN MATARAM
(https://pmb.uinmataram.ac.id/)",Kota Mataram,Nusa Tenggara Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=622
kin,1713,"UIN ALAUDDIN
(http://pmb.uin-alauddin.ac.id/site/login)",Kabupaten Gowa,Sulawesi Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=713
kin,1732,"UIN DATOKARAMA PALU
(https://siakad.uindatokarama.ac.id/spmbfront)",Kota Palu,Sulawesi Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=732
