Kode PTN,Nama PTN,Kode Prodi,Nama Prodi,Tahun,Peminat,Daya Tampung
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111001,PENDIDIKAN DOKTER HEWAN,2020,455,109(23.96%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111001,PENDIDIKAN DOKTER HEWAN,2021,628,103(16.40%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111001,PENDIDIKAN DOKTER HEWAN,2022,689,99(14.37%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111001,PENDIDIKAN DOKTER HEWAN,2023,548,80(14.60%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111001,PENDIDIKAN DOKTER HEWAN,2024,411,87(21.17%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111002,TEKNIK SIPIL,2020,741,82(11.07%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111002,TEKNIK SIPIL,2021,788,81(10.28%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111002,TEKNIK SIPIL,2022,680,81(11.91%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111002,TEKNIK SIPIL,2023,587,87(14.82%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111002,TEKNIK SIPIL,2024,606,99(16.34%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111003,TEKNIK MESIN,2020,338,69(20.41%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111003,TEKNIK MESIN,2021,264,71(26.89%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111003,TEKNIK MESIN,2022,243,66(27.16%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111003,TEKNIK MESIN,2023,231,51(22.08%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111003,TEKNIK MESIN,2024,220,44(20.00%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111004,TEKNIK KIMIA,2020,201,69(34.33%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111004,TEKNIK KIMIA,2021,156,64(41.03%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111004,TEKNIK KIMIA,2022,150,64(42.67%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111004,TEKNIK KIMIA,2023,155,62(40.00%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111004,TEKNIK KIMIA,2024,160,56(35.00%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111005,ARSITEKTUR,2020,410,69(16.83%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111005,ARSITEKTUR,2021,417,63(15.11%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111005,ARSITEKTUR,2022,358,64(17.88%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111005,ARSITEKTUR,2023,296,61(20.61%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111005,ARSITEKTUR,2024,294,60(20.41%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111006,TEKNIK ELEKTRO,2020,350,69(19.71%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111006,TEKNIK ELEKTRO,2021,267,68(25.47%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111006,TEKNIK ELEKTRO,2022,237,66(27.85%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111006,TEKNIK ELEKTRO,2023,224,50(22.32%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111006,TEKNIK ELEKTRO,2024,221,61(27.60%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111007,AGROTEKNOLOGI,2020,225,59(26.22%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111007,AGROTEKNOLOGI,2021,212,57(26.89%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111007,AGROTEKNOLOGI,2022,263,54(20.53%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111007,AGROTEKNOLOGI,2023,188,52(27.66%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111007,AGROTEKNOLOGI,2024,183,45(24.59%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111008,AGRIBISNIS,2020,529,59(11.15%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111008,AGRIBISNIS,2021,432,59(13.66%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111008,AGRIBISNIS,2022,402,49(12.19%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111008,AGRIBISNIS,2023,288,46(15.97%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111008,AGRIBISNIS,2024,299,56(18.73%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111009,PETERNAKAN,2020,170,69(40.59%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111009,PETERNAKAN,2021,175,69(39.43%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111009,PETERNAKAN,2022,175,60(34.29%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111009,PETERNAKAN,2023,131,50(38.17%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111009,PETERNAKAN,2024,117,48(41.03%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111010,TEKNOLOGI HASIL PERTANIAN,2020,172,59(34.30%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111010,TEKNOLOGI HASIL PERTANIAN,2021,154,56(36.36%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111010,TEKNOLOGI HASIL PERTANIAN,2022,137,36(26.28%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111010,TEKNOLOGI HASIL PERTANIAN,2023,104,44(42.31%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111010,TEKNOLOGI HASIL PERTANIAN,2024,109,60(55.05%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111011,TEKNIK PERTANIAN,2020,254,59(23.23%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111011,TEKNIK PERTANIAN,2021,225,55(24.44%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111011,TEKNIK PERTANIAN,2022,266,66(24.81%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111011,TEKNIK PERTANIAN,2023,229,67(29.26%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111011,TEKNIK PERTANIAN,2024,171,64(37.43%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111012,PENDIDIKAN BIOLOGI,2020,258,59(22.87%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111012,PENDIDIKAN BIOLOGI,2021,240,59(24.58%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111012,PENDIDIKAN BIOLOGI,2022,219,57(26.03%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111012,PENDIDIKAN BIOLOGI,2023,169,54(31.95%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111012,PENDIDIKAN BIOLOGI,2024,194,61(31.44%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111013,PENDIDIKAN MATEMATIKA,2020,221,59(26.70%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111013,PENDIDIKAN MATEMATIKA,2021,251,54(21.51%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111013,PENDIDIKAN MATEMATIKA,2022,197,56(28.43%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111013,PENDIDIKAN MATEMATIKA,2023,161,56(34.78%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111013,PENDIDIKAN MATEMATIKA,2024,173,62(35.84%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111014,PENDIDIKAN FISIKA,2020,52,50(96.15%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111014,PENDIDIKAN FISIKA,2021,80,50(62.50%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111014,PENDIDIKAN FISIKA,2022,73,46(63.01%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111014,PENDIDIKAN FISIKA,2023,45,46(102.22%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111014,PENDIDIKAN FISIKA,2024,59,64(108.47%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111015,PENDIDIKAN KIMIA,2020,112,50(44.64%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111015,PENDIDIKAN KIMIA,2021,103,46(44.66%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111015,PENDIDIKAN KIMIA,2022,66,47(71.21%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111015,PENDIDIKAN KIMIA,2023,46,47(102.17%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111015,PENDIDIKAN KIMIA,2024,55,44(80.00%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111016,PENDIDIKAN DOKTER,2020,1656,81(4.89%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111016,PENDIDIKAN DOKTER,2021,1785,82(4.59%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111016,PENDIDIKAN DOKTER,2022,2298,112(4.87%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111016,PENDIDIKAN DOKTER,2023,1971,101(5.12%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111016,PENDIDIKAN DOKTER,2024,1859,88(4.73%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111017,ILMU KEPERAWATAN,2020,765,79(10.33%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111017,ILMU KEPERAWATAN,2021,947,76(8.03%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111017,ILMU KEPERAWATAN,2022,1179,72(6.11%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111017,ILMU KEPERAWATAN,2023,1072,82(7.65%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111017,ILMU KEPERAWATAN,2024,1313,132(10.05%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111018,PENDIDIKAN DOKTER GIGI,2020,655,36(5.50%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111018,PENDIDIKAN DOKTER GIGI,2021,838,36(4.30%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111018,PENDIDIKAN DOKTER GIGI,2022,880,36(4.09%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111018,PENDIDIKAN DOKTER GIGI,2023,946,40(4.23%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111018,PENDIDIKAN DOKTER GIGI,2024,858,35(4.08%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111019,MATEMATIKA,2020,115,50(43.48%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111019,MATEMATIKA,2021,110,45(40.91%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111019,MATEMATIKA,2022,110,40(36.36%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111019,MATEMATIKA,2023,68,37(54.41%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111019,MATEMATIKA,2024,50,45(90.00%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111020,FISIKA,2020,41,50(121.95%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111020,FISIKA,2021,54,49(90.74%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111020,FISIKA,2022,35,40(114.29%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111020,FISIKA,2023,34,46(135.29%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111020,FISIKA,2024,14,55(392.86%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111021,KIMIA,2020,129,50(38.76%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111021,KIMIA,2021,101,45(44.55%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111021,KIMIA,2022,64,40(62.50%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111021,KIMIA,2023,64,39(60.94%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111021,KIMIA,2024,58,42(72.41%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111022,BIOLOGI,2020,139,50(35.97%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111022,BIOLOGI,2021,196,45(22.96%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111022,BIOLOGI,2022,162,40(24.69%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111022,BIOLOGI,2023,97,38(39.18%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111022,BIOLOGI,2024,120,42(35.00%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111023,ILMU KELAUTAN,2020,152,89(58.55%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111023,ILMU KELAUTAN,2021,132,88(66.67%)
1111,"UNIVERSITAS SYIAH KUALA
(https://pmb.usk.ac.id/)",11111023,ILMU KELAUTAN,2022,153,90(58.82%)
